epoch,train_accuracy,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
21,88.1,86.2,False,,,22,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-20,1646467280,0.2734239101409912,8.324178457260132,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,8.324178457260132,0,22,6ab9a_00000
22,88.3,86.5,False,,,23,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-21,1646467281,0.26571226119995117,8.589890718460083,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,8.589890718460083,0,23,6ab9a_00000
23,88.6,86.7,False,,,24,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-21,1646467281,0.26697325706481934,8.856863975524902,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,8.856863975524902,0,24,6ab9a_00000
24,88.8,86.6,False,,,25,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-21,1646467281,0.2769355773925781,9.13379955291748,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,9.13379955291748,0,25,6ab9a_00000
25,89.3,87.9,False,,,26,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-22,1646467282,0.27756643295288086,9.411365985870361,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,9.411365985870361,0,26,6ab9a_00000
26,88.8,87.3,False,,,27,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-22,1646467282,0.27245473861694336,9.683820724487305,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,9.683820724487305,0,27,6ab9a_00000
27,89.4,87.7,False,,,28,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-22,1646467282,0.27437806129455566,9.95819878578186,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,9.95819878578186,0,28,6ab9a_00000
28,89.60000000000001,88.0,False,,,29,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-22,1646467282,0.280350923538208,10.238549709320068,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,10.238549709320068,0,29,6ab9a_00000
29,89.5,87.6,False,,,30,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-23,1646467283,0.276080846786499,10.514630556106567,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,10.514630556106567,0,30,6ab9a_00000
30,89.7,87.8,False,,,31,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-23,1646467283,0.27301883697509766,10.787649393081665,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,10.787649393081665,0,31,6ab9a_00000
31,89.8,88.7,False,,,32,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-23,1646467283,0.2732076644897461,11.060857057571411,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,11.060857057571411,0,32,6ab9a_00000
32,89.60000000000001,88.0,False,,,33,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-23,1646467283,0.2718825340270996,11.33273959159851,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,11.33273959159851,0,33,6ab9a_00000
33,89.8,88.5,False,,,34,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-24,1646467284,0.27483320236206055,11.607572793960571,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,11.607572793960571,0,34,6ab9a_00000
34,89.60000000000001,88.0,False,,,35,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-24,1646467284,0.24705076217651367,11.854623556137085,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,11.854623556137085,0,35,6ab9a_00000
35,89.7,88.9,False,,,36,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-24,1646467284,0.24094343185424805,12.095566987991333,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,12.095566987991333,0,36,6ab9a_00000
36,89.5,88.3,False,,,37,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-24,1646467284,0.24512362480163574,12.340690612792969,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,12.340690612792969,0,37,6ab9a_00000
37,89.8,88.5,False,,,38,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-25,1646467285,0.2426457405090332,12.583336353302002,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,12.583336353302002,0,38,6ab9a_00000
38,89.8,88.4,False,,,39,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-25,1646467285,0.23773503303527832,12.82107138633728,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,12.82107138633728,0,39,6ab9a_00000
39,89.7,88.2,False,,,40,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-25,1646467285,0.24172449111938477,13.062795877456665,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,13.062795877456665,0,40,6ab9a_00000
40,90.3,89.0,False,,,41,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-25,1646467285,0.2505764961242676,13.313372373580933,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,13.313372373580933,0,41,6ab9a_00000
41,89.8,87.9,False,,,42,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-26,1646467286,0.23785614967346191,13.551228523254395,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,13.551228523254395,0,42,6ab9a_00000
42,90.2,89.0,False,,,43,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-26,1646467286,0.24562621116638184,13.796854734420776,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,13.796854734420776,0,43,6ab9a_00000
43,89.7,87.6,False,,,44,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-26,1646467286,0.24095845222473145,14.037813186645508,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,14.037813186645508,0,44,6ab9a_00000
44,90.2,88.9,False,,,45,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-26,1646467286,0.2554020881652832,14.293215274810791,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,14.293215274810791,0,45,6ab9a_00000
45,90.2,88.8,False,,,46,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-27,1646467287,0.24021649360656738,14.533431768417358,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,14.533431768417358,0,46,6ab9a_00000
46,90.10000000000001,88.8,False,,,47,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-27,1646467287,0.23720097541809082,14.77063274383545,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,14.77063274383545,0,47,6ab9a_00000
47,90.10000000000001,88.7,False,,,48,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-27,1646467287,0.238511323928833,15.009144067764282,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,15.009144067764282,0,48,6ab9a_00000
48,90.5,89.0,False,,,49,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-27,1646467287,0.24130702018737793,15.25045108795166,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,15.25045108795166,0,49,6ab9a_00000
49,90.4,88.9,True,,,50,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-28,1646467288,0.24323511123657227,15.493686199188232,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,15.493686199188232,0,50,6ab9a_00000
