epoch,train_accuracy,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
22,91.5,89.5,False,,,23,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-52,1646467552,0.6529531478881836,17.327265977859497,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,17.327265977859497,0,23,07589_00000
23,91.7,89.1,False,,,24,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-53,1646467553,0.6329171657562256,17.960183143615723,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,17.960183143615723,0,24,07589_00000
24,91.60000000000001,89.60000000000001,False,,,25,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-54,1646467554,0.6435296535491943,18.603712797164917,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,18.603712797164917,0,25,07589_00000
25,91.5,89.2,False,,,26,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-54,1646467554,0.6481831073760986,19.251895904541016,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,19.251895904541016,0,26,07589_00000
26,91.60000000000001,89.2,False,,,27,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-55,1646467555,0.6422989368438721,19.894194841384888,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,19.894194841384888,0,27,07589_00000
27,92.10000000000001,89.1,False,,,28,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-56,1646467556,0.640831470489502,20.53502631187439,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,20.53502631187439,0,28,07589_00000
28,91.60000000000001,89.3,False,,,29,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-56,1646467556,0.6519660949707031,21.186992406845093,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,21.186992406845093,0,29,07589_00000
29,92.10000000000001,88.8,False,,,30,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-57,1646467557,0.6477718353271484,21.83476424217224,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,21.83476424217224,0,30,07589_00000
30,91.7,89.7,False,,,31,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-57,1646467557,0.6333613395690918,22.468125581741333,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,22.468125581741333,0,31,07589_00000
31,91.8,89.60000000000001,False,,,32,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-58,1646467558,0.6280148029327393,23.096140384674072,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,23.096140384674072,0,32,07589_00000
32,91.60000000000001,89.7,False,,,33,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-59,1646467559,0.6362311840057373,23.73237156867981,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,23.73237156867981,0,33,07589_00000
33,91.60000000000001,89.4,False,,,34,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-59,1646467559,0.6440598964691162,24.376431465148926,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,24.376431465148926,0,34,07589_00000
34,91.7,89.8,False,,,35,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-00,1646467560,0.6599688529968262,25.036400318145752,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,25.036400318145752,0,35,07589_00000
35,91.9,88.8,False,,,36,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-01,1646467561,0.6417849063873291,25.67818522453308,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,25.67818522453308,0,36,07589_00000
36,91.60000000000001,89.5,False,,,37,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-01,1646467561,0.5746955871582031,26.252880811691284,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,26.252880811691284,0,37,07589_00000
37,92.0,88.7,False,,,38,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-02,1646467562,0.5585415363311768,26.81142234802246,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,26.81142234802246,0,38,07589_00000
38,91.2,90.2,False,,,39,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-02,1646467562,0.5671813488006592,27.37860369682312,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,27.37860369682312,0,39,07589_00000
39,91.60000000000001,89.9,False,,,40,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-03,1646467563,0.562291145324707,27.940894842147827,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,27.940894842147827,0,40,07589_00000
40,91.8,90.10000000000001,False,,,41,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-04,1646467564,0.5716218948364258,28.512516736984253,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,28.512516736984253,0,41,07589_00000
41,91.4,90.10000000000001,False,,,42,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-04,1646467564,0.5576820373535156,29.07019877433777,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,29.07019877433777,0,42,07589_00000
42,91.2,90.10000000000001,False,,,43,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-05,1646467565,0.5635538101196289,29.633752584457397,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,29.633752584457397,0,43,07589_00000
43,91.8,89.8,False,,,44,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-05,1646467565,0.5575814247131348,30.191334009170532,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,30.191334009170532,0,44,07589_00000
44,92.10000000000001,89.7,False,,,45,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-06,1646467566,0.5744514465332031,30.765785455703735,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,30.765785455703735,0,45,07589_00000
45,91.9,89.3,False,,,46,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-06,1646467566,0.5537059307098389,31.319491386413574,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,31.319491386413574,0,46,07589_00000
46,91.7,89.8,False,,,47,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-07,1646467567,0.5729837417602539,31.892475128173828,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,31.892475128173828,0,47,07589_00000
47,91.2,90.3,False,,,48,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-08,1646467568,0.5650408267974854,32.45751595497131,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,32.45751595497131,0,48,07589_00000
48,91.9,89.9,False,,,49,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-08,1646467568,0.5653262138366699,33.02284216880798,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,33.02284216880798,0,49,07589_00000
49,91.60000000000001,90.10000000000001,False,,,50,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-09,1646467569,0.5632450580596924,33.586087226867676,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,33.586087226867676,0,50,07589_00000
50,91.60000000000001,90.2,False,,,51,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-09,1646467569,0.5666234493255615,34.15271067619324,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,34.15271067619324,0,51,07589_00000
51,91.2,90.3,False,,,52,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-10,1646467570,0.5297136306762695,34.68242430686951,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,34.68242430686951,0,52,07589_00000
52,92.2,89.2,False,,,53,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-10,1646467570,0.4960973262786865,35.17852163314819,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,35.17852163314819,0,53,07589_00000
53,91.7,90.10000000000001,False,,,54,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-11,1646467571,0.516381025314331,35.694902658462524,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,35.694902658462524,0,54,07589_00000
54,91.9,90.4,False,,,55,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-11,1646467571,0.506594181060791,36.201496839523315,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,36.201496839523315,0,55,07589_00000
55,92.10000000000001,90.0,False,,,56,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-12,1646467572,0.5202198028564453,36.72171664237976,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,36.72171664237976,0,56,07589_00000
56,91.9,89.7,False,,,57,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-12,1646467572,0.5171661376953125,37.23888278007507,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,37.23888278007507,0,57,07589_00000
57,92.10000000000001,89.60000000000001,False,,,58,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-13,1646467573,0.504230260848999,37.74311304092407,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,37.74311304092407,0,58,07589_00000
58,91.8,89.60000000000001,False,,,59,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-13,1646467573,0.4979979991912842,38.241111040115356,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,38.241111040115356,0,59,07589_00000
59,91.3,90.3,False,,,60,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-14,1646467574,0.5095882415771484,38.750699281692505,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,38.750699281692505,0,60,07589_00000
60,91.9,90.0,False,,,61,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-14,1646467574,0.5068767070770264,39.25757598876953,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,39.25757598876953,0,61,07589_00000
61,91.9,89.7,False,,,62,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-06-15,1646467575,0.5173022747039795,39.77487826347351,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,39.77487826347351,0,62,07589_00000
