epoch,train_accuracy,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
24,91.46,92.27129337539432,False,,,25,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-21,1646467821,0.9676859378814697,27.974873542785645,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,27.974873542785645,0,25,a0b55_00003
25,91.36,91.74553101997897,False,,,26,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-22,1646467822,0.9725611209869385,28.947434663772583,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,28.947434663772583,0,26,a0b55_00003
26,91.44,92.00841219768665,False,,,27,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-23,1646467823,0.9827699661254883,29.93020462989807,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,29.93020462989807,0,27,a0b55_00003
27,90.75999999999999,91.11461619348054,False,,,28,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-24,1646467824,0.9637589454650879,30.89396357536316,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,30.89396357536316,0,28,a0b55_00003
28,91.08000000000001,91.43007360672975,False,,,29,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-25,1646467825,0.9871871471405029,31.881150722503662,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,31.881150722503662,0,29,a0b55_00003
29,91.18,91.58780231335436,False,,,30,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-26,1646467826,0.9592361450195312,32.84038686752319,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,32.84038686752319,0,30,a0b55_00003
30,91.14,91.58780231335436,False,,,31,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-27,1646467827,0.9847981929779053,33.8251850605011,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,33.8251850605011,0,31,a0b55_00003
31,91.38,91.69295478443743,False,,,32,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-28,1646467828,0.9577572345733643,34.78294229507446,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,34.78294229507446,0,32,a0b55_00003
32,90.82000000000001,91.32492113564669,False,,,33,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-29,1646467829,0.9888763427734375,35.7718186378479,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,35.7718186378479,0,33,a0b55_00003
33,91.52,91.90325972660357,False,,,34,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-30,1646467830,0.9704816341400146,36.742300271987915,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,36.742300271987915,0,34,a0b55_00003
34,91.52,91.90325972660357,False,,,35,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-31,1646467831,0.9914472103118896,37.733747482299805,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,37.733747482299805,0,35,a0b55_00003
35,91.58,91.74553101997897,False,,,36,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-32,1646467832,0.9762561321258545,38.71000361442566,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,38.71000361442566,0,36,a0b55_00003
36,91.3,91.69295478443743,False,,,37,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-33,1646467833,0.9916682243347168,39.701671838760376,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,39.701671838760376,0,37,a0b55_00003
37,91.66,92.11356466876973,False,,,38,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-34,1646467834,0.9318640232086182,40.633535861968994,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,40.633535861968994,0,38,a0b55_00003
38,91.60000000000001,91.85068349106203,False,,,39,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-35,1646467835,0.9560959339141846,41.58963179588318,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,41.58963179588318,0,39,a0b55_00003
39,91.36,91.6403785488959,False,,,40,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-36,1646467836,0.9726178646087646,42.56224966049194,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,42.56224966049194,0,40,a0b55_00003
40,91.36,91.69295478443743,False,,,41,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-37,1646467837,0.9832932949066162,43.54554295539856,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,43.54554295539856,0,41,a0b55_00003
41,91.64,92.11356466876973,False,,,42,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-38,1646467838,0.9648313522338867,44.510374307632446,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,44.510374307632446,0,42,a0b55_00003
42,91.67999999999999,92.27129337539432,False,,,43,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-39,1646467839,0.9787893295288086,45.489163637161255,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,45.489163637161255,0,43,a0b55_00003
43,91.74,92.27129337539432,False,,,44,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-40,1646467840,0.9877429008483887,46.476906538009644,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,46.476906538009644,0,44,a0b55_00003
44,91.8,92.32386961093586,False,,,45,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-40,1646467840,0.9706342220306396,47.44754076004028,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,47.44754076004028,0,45,a0b55_00003
45,91.75999999999999,92.3764458464774,False,,,46,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-42,1646467842,1.0314536094665527,48.478994369506836,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,48.478994369506836,0,46,a0b55_00003
46,91.62,92.21871713985279,False,,,47,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-42,1646467842,0.9376130104064941,49.41660737991333,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,49.41660737991333,0,47,a0b55_00003
47,91.52,91.74553101997897,False,,,48,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-43,1646467843,0.9790146350860596,50.39562201499939,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,50.39562201499939,0,48,a0b55_00003
48,91.78,92.42902208201893,False,,,49,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-44,1646467844,1.00274658203125,51.39836859703064,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,51.39836859703064,0,49,a0b55_00003
49,91.78,92.27129337539432,False,,,50,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-45,1646467845,0.9623024463653564,52.360671043395996,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,52.360671043395996,0,50,a0b55_00003
50,91.64,92.21871713985279,False,,,51,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-46,1646467846,0.9525811672210693,53.313252210617065,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,53.313252210617065,0,51,a0b55_00003
51,91.52,91.9558359621451,False,,,52,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-47,1646467847,0.9714021682739258,54.28465437889099,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,54.28465437889099,0,52,a0b55_00003
52,91.74,92.16614090431125,False,,,53,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-48,1646467848,0.9464232921600342,55.231077671051025,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,55.231077671051025,0,53,a0b55_00003
53,91.64,92.21871713985279,False,,,54,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-49,1646467849,0.9934313297271729,56.2245090007782,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,56.2245090007782,0,54,a0b55_00003
54,91.74,92.27129337539432,False,,,55,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-50,1646467850,0.9175505638122559,57.142059564590454,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,57.142059564590454,0,55,a0b55_00003
55,91.7,92.32386961093586,False,,,56,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-51,1646467851,1.000774621963501,58.142834186553955,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,58.142834186553955,0,56,a0b55_00003
56,91.78,92.21871713985279,False,,,57,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-52,1646467852,0.958932638168335,59.10176682472229,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,59.10176682472229,0,57,a0b55_00003
57,91.8,92.32386961093586,False,,,58,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-53,1646467853,0.9756898880004883,60.07745671272278,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,60.07745671272278,0,58,a0b55_00003
58,91.82000000000001,92.00841219768665,False,,,59,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-54,1646467854,0.9647367000579834,61.04219341278076,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,61.04219341278076,0,59,a0b55_00003
59,91.86,92.21871713985279,False,,,60,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-55,1646467855,0.955841064453125,61.99803447723389,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,61.99803447723389,0,60,a0b55_00003
60,91.8,92.3764458464774,False,,,61,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-56,1646467856,0.9478545188903809,62.94588899612427,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,62.94588899612427,0,61,a0b55_00003
61,91.84,92.21871713985279,False,,,62,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-57,1646467857,0.9659633636474609,63.91185235977173,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,63.91185235977173,0,62,a0b55_00003
62,91.84,92.21871713985279,False,,,63,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-58,1646467858,1.0106725692749023,64.92252492904663,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,64.92252492904663,0,63,a0b55_00003
63,91.86,92.32386961093586,False,,,64,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-59,1646467859,0.9338846206665039,65.85640954971313,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,65.85640954971313,0,64,a0b55_00003
